movieid,title,year,mean_rating
2959,Fight Club (1999),1999,3.70317
2959,Fight Club (1999),2000,4.06532
2959,Fight Club (1999),2001,4.16255
2959,Fight Club (1999),2002,4.24043
2959,Fight Club (1999),2003,4.27790
2959,Fight Club (1999),2004,4.14934
2959,Fight Club (1999),2005,4.18387
2959,Fight Club (1999),2006,4.20148
2959,Fight Club (1999),2007,4.24347
2959,Fight Club (1999),2008,4.33185
2959,Fight Club (1999),2009,4.31803
2959,Fight Club (1999),2010,4.34592
2959,Fight Club (1999),2011,4.32953
2959,Fight Club (1999),2012,4.28706
2959,Fight Club (1999),2013,4.24854
2959,Fight Club (1999),2014,4.21642
2959,Fight Club (1999),2015,4.29112
2959,Fight Club (1999),2016,4.20010
2959,Fight Club (1999),2017,4.23900
2959,Fight Club (1999),2018,4.24760
2959,Fight Club (1999),2019,4.26997
2959,Fight Club (1999),2020,4.25544
2959,Fight Club (1999),2021,4.22861
2959,Fight Club (1999),2022,4.21361
2959,Fight Club (1999),2023,4.26577
